open,high,low,close
297.8,297.8,297.6,297.8
297.9,298.1,297.8,298.1
298.0,298.2,297.8,297.9
297.9,298.2,297.8,298.1
298.2,298.5,298.1,298.2
298.2,298.4,298.1,298.4
298.4,298.7,298.3,298.5
298.6,298.9,298.4,298.8
298.8,299.2,298.7,299.1
299.1,299.5,299.0,299.1
299.2,299.9,299.1,299.9
299.8,300.4,299.7,300.3
300.3,300.8,300.0,300.5
300.5,300.5,299.9,300.0
299.9,300.1,299.8,300.1
300.1,300.3,300.0,300.2
300.3,300.4,299.9,300.0
299.9,300.0,298.9,299.0
299.0,299.3,298.8,299.1
299.1,299.4,299.1,299.1
299.0,299.3,299.0,299.1
299.2,299.3,299.1,299.2
299.1,299.7,299.1,299.4
299.4,299.8,299.4,299.8
299.8,299.8,299.5,299.7
299.7,299.8,299.6,299.8
299.8,299.9,299.8,299.8
299.9,299.9,299.7,299.8
299.9,300.2,299.8,300.0
300.1,300.2,300.1,300.1
300.1,300.2,300.0,300.0
300.1,300.1,299.7,299.8
299.8,299.8,299.4,299.4
299.5,299.5,299.1,299.2
299.2,299.2,299.0,299.0
299.0,299.5,299.0,299.5
299.5,299.6,299.4,299.6
299.5,299.7,299.5,299.7
299.7,299.7,299.6,299.6
299.6,299.9,299.5,299.8
299.9,299.9,299.8,299.9
299.8,300.1,299.8,300.1
300.1,300.1,299.8,299.9
299.8,300.3,299.7,300.3
300.2,300.4,300.2,300.3
300.4,300.4,300.3,300.4
300.4,300.6,300.3,300.6
300.5,300.7,300.4,300.7
300.6,301.0,300.6,301.0
301.0,301.2,300.9,301.0
300.9,301.0,300.9,300.9
301.0,301.0,300.7,300.8
300.8,300.8,300.4,300.5
300.5,300.5,300.3,300.3
300.3,300.4,299.7,299.7
299.8,299.9,299.6,299.6
299.6,299.9,299.6,299.8
299.9,300.1,299.3,299.3
299.3,299.6,299.3,299.5
299.4,300.1,299.4,300.0
300.0,300.2,299.8,300.1
300.2,300.3,300.0,300.2
300.3,300.5,300.2,300.2
300.3,300.8,300.2,300.6
300.6,301.9,300.5,301.6
301.6,301.9,301.5,301.6
301.5,301.5,300.9,301.0
301.0,301.2,300.6,301.2
301.2,301.4,300.7,300.7
300.8,301.0,300.5,300.8
300.8,300.9,300.5,300.7
300.7,300.7,300.4,300.6
300.6,300.6,300.0,300.1
300.1,300.3,300.0,300.2
300.3,300.8,300.2,300.7
300.8,301.0,300.7,301.0
300.9,301.2,300.9,301.2
301.2,301.3,301.0,301.1
301.1,301.4,301.1,301.3
301.4,301.6,301.3,301.4
301.4,301.4,300.8,301.0
300.9,301.2,300.8,301.1
301.1,301.3,300.9,301.2
301.1,301.3,300.8,301.0
301.0,301.5,300.8,301.0
301.0,301.5,301.0,301.2
301.2,302.1,301.2,301.5
301.5,301.7,301.1,301.6
301.6,302.1,301.5,301.5
301.5,301.7,301.0,301.1
301.0,301.2,300.8,300.8
300.9,301.1,300.3,300.4
300.5,300.8,300.3,300.5
300.5,300.8,300.4,300.7
300.7,301.2,300.3,300.3
300.4,300.7,300.3,300.3
300.4,300.7,300.3,300.5
300.4,300.7,300.4,300.5
300.5,300.6,300.2,300.4
300.3,300.4,300.2,300.3
300.3,300.4,300.2,300.3
300.3,300.4,300.2,300.4
300.5,300.8,300.4,300.6
